CustomerID,recency_days,frequency,monetary,country,R_score,F_score,M_score,rfm_score,segment
12515,353,1,278.7,Italy,2,1,1,4,At-Risk
12516,78,4,2288.62,Germany,3,3,4,10,Loyal
12517,28,4,2322.84,Germany,4,3,4,11,Loyal
12518,1,5,1840.89,Germany,5,4,4,13,VIP
12519,64,2,636.54,Germany,3,2,3,8,Potential
12520,79,5,2346.26,Germany,3,4,4,11,Loyal
12521,143,1,545.68,Germany,3,1,2,6,At-Risk
12522,39,2,156.72,Germany,4,2,1,7,Potential
12523,19,23,4030.15,France,5,5,5,15,VIP
12524,9,17,9794.11,Germany,5,5,5,15,VIP
12525,498,3,883.73,France,1,3,3,7,Potential
12526,1,3,1172.66,Germany,5,3,3,11,Loyal
12527,82,5,717.51,Germany,3,4,3,10,Loyal
12528,9,6,1645.48,Germany,5,4,4,13,VIP
12529,528,1,316.48,France,1,1,2,4,At-Risk
12530,60,9,3381.26,Germany,3,5,5,13,VIP
12531,15,2,1771.2,Germany,5,2,4,11,Loyal
12532,30,1,313.83,France,4,1,2,7,Potential
12533,628,2,1223.89,Germany,1,2,3,6,At-Risk
12534,131,1,981.18,Germany,3,1,3,7,Potential
12535,92,2,716.35,France,3,2,3,8,Potential
12536,59,1,4279.71,France,4,1,5,10,Loyal
12537,409,1,612.94,Sweden,2,1,2,5,At-Risk
12538,29,2,640.45,Spain,4,2,3,9,Potential
12539,22,7,11186.75,Spain,4,4,5,13,VIP
12540,20,32,19250.49,Spain,4,5,5,14,VIP
12541,30,3,841.18,Spain,4,3,3,10,Loyal
12542,484,2,481.88,Spain,1,2,2,5,At-Risk
12543,448,1,840.25,Spain,1,1,3,5,At-Risk
12544,36,1,316.7,Spain,4,1,2,7,Potential
12545,75,2,832.39,Spain,3,2,3,8,Potential
12546,47,2,1021.5,Spain,4,2,3,9,Potential
12547,198,3,299.58,Spain,2,3,2,7,Potential
12548,166,1,67.2,Spain,3,1,1,5,At-Risk
12549,576,5,1570.68,USA,1,4,4,9,Potential
12550,79,1,824.83,Spain,3,1,3,7,Potential
12551,358,1,168.0,Spain,2,1,1,4,At-Risk
12552,40,1,317.82,Italy,4,1,2,7,Potential
12553,8,12,4104.75,France,5,5,5,15,VIP
12554,449,1,384.5,Spain,1,1,2,4,At-Risk
12556,50,2,603.71,Spain,4,2,2,8,Potential
12557,16,8,18716.14,Spain,5,4,5,14,VIP
12558,8,1,269.96,USA,5,1,1,7,Potential
12559,311,2,525.71,Germany,2,2,2,6,At-Risk
12560,5,2,1918.01,Germany,5,2,4,11,Loyal
12561,303,1,238.85,Germany,2,1,1,4,At-Risk
12562,8,9,4426.92,France,5,5,5,15,VIP
12563,409,1,221.24,Italy,2,1,1,4,At-Risk
12564,261,1,402.9,France,2,1,2,5,At-Risk
12565,289,1,145.92,Saudi Arabia,2,1,1,4,At-Risk
12566,86,1,297.65,Germany,3,1,2,6,At-Risk
12567,23,15,12467.86,France,4,5,5,14,VIP
12568,645,1,52.0,Germany,1,1,1,3,Lost
12569,2,32,3152.69,Germany,5,5,5,15,VIP
12571,40,2,519.61,France,4,2,2,8,Potential
12572,9,2,912.42,Germany,5,2,3,10,Loyal
12573,227,5,717.41,France,2,4,3,9,Potential
12574,316,1,182.45,France,2,1,1,4,At-Risk
12575,457,2,568.82,France,1,2,2,5,At-Risk
12576,36,8,2062.72,Poland,4,4,4,12,Loyal
12577,35,8,1649.8,France,4,4,4,12,Loyal
12578,21,4,4026.45,Italy,4,3,5,12,Loyal
12579,78,1,386.42,France,3,1,2,6,At-Risk
12580,247,2,962.9,Germany,2,2,3,7,Potential
12581,40,1,179.71,Germany,4,1,1,6,At-Risk
12582,239,4,1820.4,Finland,2,3,4,9,Potential
12583,3,27,13295.44,France,5,5,5,15,VIP
12584,4,9,2254.15,Italy,5,5,4,14,VIP
12585,234,2,1824.1,Germany,2,2,4,8,Potential
12586,17,4,2062.67,Italy,5,3,4,12,Loyal
12587,8,1,104.0,Finland,5,1,1,7,Potential
12588,39,3,718.78,Finland,4,3,3,10,Loyal
12589,29,6,3294.91,France,4,4,5,13,VIP
12590,211,1,9341.26,Germany,2,1,5,8,Potential
12591,317,3,1128.15,Italy,2,3,3,8,Potential
12592,92,4,1723.64,Germany,3,3,4,10,Loyal
12593,109,3,382.1,France,3,3,2,8,Potential
12594,38,14,4890.11,Italy,4,5,5,14,VIP
12595,505,1,281.02,Germany,1,1,1,3,Lost
12596,51,2,450.27,Spain,4,2,2,8,Potential
12597,19,4,3195.22,Spain,5,3,5,13,VIP
12598,10,10,4192.09,France,5,5,5,15,VIP
12599,29,13,2026.72,France,4,5,4,13,VIP
12600,29,20,4444.35,Germany,4,5,5,14,VIP
12601,190,6,573.26,Germany,2,4,2,8,Potential
12602,59,1,153.12,France,4,1,1,6,At-Risk
12603,22,1,613.2,Germany,4,1,3,8,Potential
12604,79,2,236.18,France,3,2,1,6,At-Risk
12605,376,3,1124.95,Germany,2,3,3,8,Potential
12607,60,1,1579.51,USA,3,1,4,8,Potential
12608,405,1,415.79,United Kingdom,2,1,2,5,At-Risk
12609,78,9,3021.86,Germany,3,5,5,13,VIP
12610,23,4,1747.54,Italy,4,3,4,11,Loyal
12611,52,1,1193.32,Italy,4,1,3,8,Potential
12612,74,1,668.04,Germany,3,1,3,7,Potential
12613,57,9,6295.07,Germany,4,5,5,14,VIP
12614,278,1,315.6,Germany,2,1,2,5,At-Risk
12615,2,8,5362.98,France,5,4,5,14,VIP
12616,95,3,1023.1,France,3,3,3,9,Potential
12617,29,1,355.53,France,4,1,2,7,Potential
12618,22,1,137.31,Italy,4,1,1,6,At-Risk
12619,16,9,3085.7,Germany,5,5,5,15,VIP
12620,15,3,1303.41,France,5,3,4,12,Loyal
12621,2,35,22525.81,Germany,5,5,5,15,VIP
12622,232,1,162.1,Germany,2,1,1,4,At-Risk
12623,276,7,3315.84,Germany,2,4,5,11,Loyal
12624,106,2,569.13,France,3,2,2,7,Potential
12625,212,4,4678.88,Germany,2,3,5,10,Loyal
12626,23,9,5954.48,Germany,4,5,5,14,VIP
12627,11,6,4082.53,Germany,5,4,5,14,VIP
12628,4,3,732.46,Germany,5,3,3,11,Loyal
12629,386,2,1198.22,Sweden,2,2,3,7,Potential
12630,10,2,1030.88,Finland,5,2,3,10,Loyal
12631,57,6,3321.57,Finland,4,4,5,13,VIP
12632,521,2,714.88,Germany,1,2,3,6,At-Risk
12633,59,7,5156.16,Germany,4,4,5,13,VIP
12634,548,1,360.0,USA,1,1,2,4,At-Risk
12635,90,4,2624.41,Germany,3,3,4,10,Loyal
12637,67,12,8142.31,France,3,5,5,13,VIP
12638,33,2,681.49,Sweden,4,2,3,9,Potential
12639,239,3,1072.37,Sweden,2,3,3,8,Potential
12640,24,3,994.58,France,4,3,3,10,Loyal
12641,115,1,145.9,Sweden,3,1,1,5,At-Risk
12642,25,3,905.26,Germany,4,3,3,10,Loyal
12643,128,11,7849.42,France,3,5,5,13,VIP
12644,130,4,1900.49,Germany,3,3,4,10,Loyal
12645,34,8,3215.3,Germany,4,4,5,13,VIP
12646,5,2,1346.97,USA,5,2,4,11,Loyal
12647,22,35,14916.35,Germany,4,5,5,14,VIP
12648,155,4,1039.0,Germany,3,3,3,9,Potential
12649,107,8,2096.65,Germany,3,4,4,11,Loyal
12650,3,1,242.44,France,5,1,1,7,Potential
12651,335,4,377.75,France,2,3,2,7,Potential
12652,331,2,891.03,Germany,2,2,3,7,Potential
12653,149,3,4160.83,Israel,3,3,5,11,Loyal
12654,11,5,529.98,Germany,5,4,2,11,Loyal
12655,424,1,243.35,France,1,1,1,3,Lost
12656,17,8,5723.83,France,5,4,5,14,VIP
12657,11,4,1427.18,France,5,3,4,12,Loyal
12658,19,1,632.05,Germany,5,1,3,9,Potential
12659,30,1,73.68,France,4,1,1,6,At-Risk
12660,11,1,227.1,France,5,1,1,7,Potential
12661,436,1,162.0,Sweden,1,1,1,3,Lost
12662,1,20,6374.02,Germany,5,5,5,15,VIP
12663,625,2,185.4,Germany,1,2,1,4,At-Risk
12664,8,11,5420.04,Finland,5,5,5,15,VIP
12665,325,3,259.6,Germany,2,3,1,6,At-Risk
12666,394,1,1248.42,Israel,2,1,4,7,Potential
12667,58,1,460.13,Finland,4,1,2,7,Potential
12668,12,9,9967.68,Germany,5,5,5,15,VIP
12669,151,2,1427.73,France,3,2,4,9,Potential
12670,10,7,3436.29,France,5,4,5,14,VIP
12671,606,1,2622.48,Germany,1,1,4,6,At-Risk
12672,330,2,407.05,France,2,2,2,6,At-Risk
12673,5,3,1140.02,Germany,5,3,3,11,Loyal
12674,39,4,1844.6,France,4,3,4,11,Loyal
12675,554,2,874.5,Italy,1,2,3,6,At-Risk
12676,25,10,2333.09,Sweden,4,5,4,13,VIP
12677,555,2,359.1,France,1,2,2,5,At-Risk
12678,42,15,32595.18,France,4,5,5,14,VIP
12679,59,4,951.02,France,4,3,3,10,Loyal
12680,1,4,790.81,France,5,3,3,11,Loyal
12681,15,44,27898.28,France,5,5,5,15,VIP
12682,4,51,21693.91,France,5,5,5,15,VIP
12683,4,20,11400.78,France,5,5,5,15,VIP
12684,8,6,2073.63,France,5,4,4,13,VIP
12685,28,6,2575.08,France,4,4,4,12,Loyal
12686,372,1,142.28,France,2,1,1,4,At-Risk
12687,481,1,1858.91,Sweden,1,1,4,6,At-Risk
12688,114,1,4873.81,Israel,3,1,5,9,Potential
12689,26,2,1139.61,France,4,2,3,9,Potential
12690,206,1,335.01,France,2,1,2,5,At-Risk
12691,28,6,1044.4,France,4,4,3,11,Loyal
12692,637,1,110.95,France,1,1,1,3,Lost
12693,127,7,1415.02,Germany,3,4,4,11,Loyal
12694,70,3,1663.35,France,3,3,4,10,Loyal
12695,7,7,1371.12,France,5,4,4,13,VIP
12696,435,2,731.91,Finland,1,2,3,6,At-Risk
12697,29,3,757.59,Sweden,4,3,3,10,Loyal
12698,590,1,285.75,Germany,1,1,1,3,Lost
12699,418,1,566.11,Germany,1,1,2,4,At-Risk
12700,8,4,4525.99,France,5,3,5,13,VIP
12701,80,6,2248.41,Germany,3,4,4,11,Loyal
12702,20,1,201.0,Germany,4,1,1,6,At-Risk
12703,71,4,898.53,Germany,3,3,3,9,Potential
12704,7,8,1740.84,Finland,5,4,4,13,VIP
12705,15,13,11114.1,Germany,5,5,5,15,VIP
12707,292,1,603.42,France,2,1,2,5,At-Risk
12708,30,18,4738.1,Germany,4,5,5,14,VIP
12709,15,32,30162.76,Germany,5,5,5,15,VIP
12710,97,3,1023.02,Germany,3,3,3,9,Potential
12711,612,2,1213.05,Germany,1,2,3,6,At-Risk
12712,29,21,6401.66,Germany,4,5,5,14,VIP
12713,1,1,794.55,Germany,5,1,3,9,Potential
12714,9,12,12815.71,France,5,5,5,15,VIP
12715,106,1,273.86,Sweden,3,1,1,5,At-Risk
12716,4,2,963.49,France,5,2,3,10,Loyal
12717,151,3,1058.91,Greece,3,3,3,9,Potential
12718,71,1,202.25,France,3,1,1,5,At-Risk
12719,5,2,572.95,France,5,2,2,9,Potential
12720,3,29,7306.67,Germany,5,5,5,15,VIP
12721,32,8,3635.08,France,4,4,5,13,VIP
12722,85,4,979.63,France,3,3,3,9,Potential
12723,4,5,707.07,France,5,4,3,12,Loyal
12724,5,7,2083.52,France,5,4,4,13,VIP
12725,371,3,2278.56,Italy,2,3,4,9,Potential
12726,28,11,3690.6,France,4,5,5,14,VIP
12727,11,10,4905.53,France,5,5,5,15,VIP
12728,71,5,926.17,France,3,4,3,10,Loyal
12729,114,1,417.01,France,3,1,2,6,At-Risk
12730,522,1,703.25,Germany,1,1,3,5,At-Risk
12731,24,17,25631.71,France,4,5,5,14,VIP
12732,180,1,218.26,France,3,1,1,5,At-Risk
12733,234,4,2424.02,USA,2,3,4,9,Potential
12734,353,3,603.65,France,2,3,2,7,Potential
12735,315,2,689.57,France,2,2,3,7,Potential
12736,333,1,144.0,France,2,1,1,4,At-Risk
12738,372,1,274.7,Germany,2,1,1,4,At-Risk
12739,99,2,2421.23,United Arab Emirates,3,2,4,9,Potential
12740,64,1,427.6,France,3,1,2,6,At-Risk
12741,533,1,236.07,USA,1,1,1,3,Lost
12742,626,1,1201.52,United Arab Emirates,1,1,3,5,At-Risk
12743,134,2,546.43,Unspecified,3,2,2,7,Potential
12744,56,8,13158.16,Singapore,4,4,5,13,VIP
12745,487,2,723.85,United Kingdom,1,2,3,6,At-Risk
12746,541,1,254.55,United Kingdom,1,1,1,3,Lost
12747,2,26,9276.54,United Kingdom,5,5,5,15,VIP
12748,1,322,52191.31,United Kingdom,5,5,5,15,VIP
12749,4,9,6847.36,United Kingdom,5,5,5,15,VIP
12750,129,1,275.88,Poland,3,1,1,5,At-Risk
12751,445,1,268.27,Brazil,1,1,1,3,Lost
12752,81,1,4366.78,Norway,3,1,5,9,Potential
12753,23,6,21429.39,Japan,4,4,5,13,VIP
12754,236,3,3010.74,Japan,2,3,5,10,Loyal
12755,281,11,9030.66,Japan,2,5,5,12,Loyal
12756,87,1,112.08,Japan,3,1,1,5,At-Risk
12757,16,9,4199.2,Portugal,5,5,5,15,VIP
12758,117,7,9903.24,Portugal,3,4,5,12,Loyal
12759,52,8,4618.74,Netherlands,4,4,5,13,VIP
12760,456,1,317.8,Netherlands,1,1,2,4,At-Risk
12761,465,1,712.95,Netherlands,1,1,3,5,At-Risk
12762,8,2,1702.52,Portugal,5,2,4,11,Loyal
12763,138,2,814.16,Japan,3,2,3,8,Potential
12764,317,1,1693.88,Lebanon,2,1,4,7,Potential
12765,472,6,1299.58,Netherlands,1,4,4,9,Potential
12766,4,9,9116.28,Portugal,5,5,5,15,VIP
12767,376,1,949.82,Korea,2,1,3,6,At-Risk
12768,451,1,168.69,Korea,1,1,1,3,Lost
12769,239,1,1143.6,Brazil,2,1,3,6,At-Risk
12770,211,2,3246.45,Japan,2,2,5,9,Potential
12771,486,1,226.3,Portugal,1,1,1,3,Lost
12772,60,1,752.47,Portugal,3,1,3,7,Potential
12773,564,1,124.25,Portugal,1,1,1,3,Lost
12774,536,1,83.7,Netherlands,1,1,1,3,Lost
12775,17,7,1551.12,Netherlands,5,4,4,13,VIP
12776,668,1,27.5,Portugal,1,1,1,3,Lost
12777,458,1,519.45,United Kingdom,1,1,2,4,At-Risk
12778,20,9,1541.68,Netherlands,4,5,4,13,VIP
12779,38,14,6722.27,Poland,4,5,5,14,VIP
12780,599,1,322.4,Netherlands,1,1,2,4,At-Risk
12781,64,2,786.74,Czech Republic,3,2,3,8,Potential
12782,5,11,3862.24,Portugal,5,5,5,15,VIP
12783,2,4,1295.87,Portugal,5,3,4,12,Loyal
12784,15,2,1552.75,Portugal,5,2,4,11,Loyal
12785,364,3,904.4,Portugal,2,3,3,8,Potential
12786,610,1,668.5,Netherlands,1,1,3,5,At-Risk
12787,10,4,799.18,Netherlands,5,3,3,11,Loyal
12788,463,4,384.9,Netherlands,1,3,2,6,At-Risk
12789,65,3,225.35,Netherlands,3,3,1,7,Potential
12790,192,2,546.85,Netherlands,2,2,2,6,At-Risk
12791,374,5,834.43,Netherlands,2,4,3,9,Potential
12792,257,2,715.01,Portugal,2,2,3,7,Potential
12793,335,3,849.33,Portugal,2,3,3,8,Potential
12794,53,2,860.41,Portugal,4,2,3,9,Potential
12795,19,1,318.48,Portugal,5,1,2,8,Potential
12796,628,1,351.0,Netherlands,1,1,2,4,At-Risk
12797,366,2,694.11,Portugal,2,2,3,7,Potential
12798,10,4,8510.93,Japan,5,3,5,13,VIP
12799,529,1,219.35,Japan,1,1,1,3,Lost
12800,470,2,500.25,Portugal,1,2,2,5,At-Risk
12801,501,1,871.82,Sweden,1,1,3,5,At-Risk
12802,187,5,2186.42,Netherlands,3,4,4,11,Loyal
12803,393,1,1017.81,Netherlands,2,1,3,6,At-Risk
12804,466,2,327.02,Netherlands,1,2,2,5,At-Risk
12805,382,4,1230.95,Netherlands,2,3,3,8,Potential
12806,572,2,2558.96,Netherlands,1,2,4,7,Potential
12807,383,1,250.35,Sweden,2,1,1,4,At-Risk
12808,37,5,850.1,Portugal,4,4,3,11,Loyal
12809,178,3,1384.34,Portugal,3,3,4,10,Loyal
12810,535,2,534.99,Japan,1,2,2,5,At-Risk
12811,262,4,893.9,Portugal,2,3,3,8,Potential
12812,45,1,229.64,Japan,4,1,1,6,At-Risk
12813,502,3,1621.8,Netherlands,1,3,4,8,Potential
12814,102,1,85.92,Poland,3,1,1,5,At-Risk
12815,148,2,863.46,Poland,3,2,3,8,Potential
12816,96,2,452.2,Poland,3,2,2,7,Potential
12817,281,3,570.98,Austria,2,3,2,7,Potential
12818,262,1,1182.08,Austria,2,1,3,6,At-Risk
12819,458,1,540.52,United Kingdom,1,1,2,4,At-Risk
12820,3,11,2689.52,United Kingdom,5,5,4,14,VIP
12821,214,2,220.8,United Kingdom,2,2,1,5,At-Risk
12822,71,2,948.88,United Kingdom,3,2,3,8,Potential
12823,75,18,6501.5,United Kingdom,3,5,5,13,VIP
12824,60,1,397.12,United Kingdom,3,1,2,6,At-Risk
12825,521,2,518.63,United Kingdom,1,2,2,5,At-Risk
12826,3,12,2955.75,United Kingdom,5,5,5,15,VIP
12827,6,3,430.15,United Kingdom,5,3,2,10,Loyal
12828,3,6,1018.71,United Kingdom,5,4,3,12,Loyal
12829,337,3,385.3,United Kingdom,2,3,2,7,Potential
12830,38,6,6814.64,United Kingdom,4,4,5,13,VIP
12831,262,3,451.11,United Kingdom,2,3,2,7,Potential
12832,32,2,383.03,United Kingdom,4,2,2,8,Potential
12833,145,1,417.38,United Kingdom,3,1,2,6,At-Risk
12834,283,1,312.38,United Kingdom,2,1,2,5,At-Risk
12835,428,41,6043.31,United Kingdom,1,5,5,11,Loyal
12836,59,15,6585.62,United Kingdom,4,5,5,14,VIP
12837,173,2,688.41,United Kingdom,3,2,3,8,Potential
12838,34,10,3398.48,United Kingdom,4,5,5,14,VIP
12839,3,26,10071.73,United Kingdom,5,5,5,15,VIP
12840,144,7,4041.97,United Kingdom,3,4,5,12,Loyal
12841,5,40,7540.68,United Kingdom,5,5,5,15,VIP
12842,70,4,1917.99,United Kingdom,3,3,4,10,Loyal
12843,66,28,6466.92,United Kingdom,3,5,5,13,VIP
