StockCode,Description,avg_price,min_price,max_price,price_std,total_units,total_revenue,num_customers,avg_revenue_per_unit,price_volatility_pct,suggested_discount_pct,optimal_price
16161P,WRAP ENGLISH ROSE,0.4189639639639639,0.34,0.42,0.0089042338349975,13298,5477.4,289,0.41,2.1,2.1,0.42
16161U,WRAP SUKI AND FRIENDS,0.4185714285714285,0.34,0.42,0.0103460295810982,6726,2742.92,148,0.41,2.5,2.5,0.42
16161U,"WRAP,SUKI AND FRIENDS",0.4170642201834862,0.34,0.42,0.0151108712579153,3325,1352.5,86,0.41,3.6,3.6,0.42
16162L,THE KING GIFT BAG,0.5182352941176471,0.05,0.65,0.2321700695104142,8083,553.79,16,0.07,44.8,30.0,0.05
16162M,THE KING GIFT BAG 25X24X12CM,0.42,0.42,0.42,0.0,86,36.12,10,0.42,0.0,0.0,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.3903703703703703,0.12,0.42,0.0815640265452566,1602,435.24,42,0.27,20.9,20.9,0.37
16168S,FUNKY MONKEY GIFT BAG SMALL,0.1757142857142857,0.09,0.29,0.1069044967649697,1274,121.86,4,0.1,60.8,30.0,0.14
16169A,WRAP CHRISTMAS DECOUPAGE,0.42,0.42,0.42,0.0,25,10.5,1,0.42,0.0,0.0,0.42
16169C,WRAP BLUE REINDEER,0.42,0.42,0.42,0.0,1350,567.0,42,0.42,0.0,0.0,0.42
16169D,WRAP WINTER FOREST,0.42,0.42,0.42,0.0,250,105.0,9,0.42,0.0,0.0,0.42
16169E,WRAP 50'S  CHRISTMAS,0.4191999999999999,0.36,0.42,0.0069049150862985,4563,1892.46,143,0.41,1.6,1.6,0.42
16169F,WRAP BLIZZARD,0.42,0.42,0.42,0.0,975,409.5,34,0.42,0.0,0.0,0.42
16169G,WRAP ROMANTIC DECOUPAGE,0.42,0.42,0.42,0.0,25,10.5,1,0.42,0.0,0.0,0.42
16169K,WRAP FOLK ART,0.3625,0.19,0.42,0.1004333829300778,2075,658.75,56,0.32,27.7,27.7,0.19
16169M,WRAP DAISY CARPET,0.3548333333333333,0.19,0.42,0.1045165085762614,2060,640.95,56,0.31,29.5,29.5,0.19
16169N,WRAP BLUE RUSSIAN FOLKART,0.3514035087719298,0.19,0.42,0.10615754122481,2050,636.75,52,0.31,30.2,30.0,0.19
16169P,WRAP GREEN RUSSIAN FOLKART,0.3577083333333333,0.19,0.42,0.1032913578666147,1750,533.75,46,0.3,28.9,28.9,0.19
16201A,PASTEL PINK PHOTO ALBUM,2.55,1.95,6.75,1.697056274847714,100,199.8,7,2.0,66.6,30.0,1.95
16201B,PASTEL BLUE PHOTO ALBUM,1.95,1.95,1.95,0.0,24,46.8,2,1.95,0.0,0.0,1.95
16202A,PASTEL PINK PHOTO ALBUM,3.787,0.17,5.55,2.277699901678284,661,272.0,16,0.41,60.1,30.0,3.76
16202B,PASTEL BLUE PHOTO ALBUM,3.191111111111111,0.17,5.55,2.255651435548678,1034,469.21,13,0.45,70.7,30.0,3.75
16202C,BEIGE PHOTO ALBUM,3.03,1.95,5.55,1.7389652095427326,94,201.3,10,2.14,57.4,30.0,3.75
16202E,BLACK PHOTO ALBUM,2.723076923076923,0.5,5.55,2.048944381119965,81,150.6,12,1.86,75.2,30.0,1.95
16206B,RED PURSE WITH PINK HEART,1.23125,0.95,1.25,0.075,96,116.4,14,1.21,6.1,6.1,1.2
16207A,PINK STRAWBERRY HANDBAG,2.95,2.95,2.95,0.0,55,162.25,17,2.95,0.0,0.0,2.95
16207B,PINK HEART RED HANDBAG,2.5200000000000005,1.25,2.95,0.7363423117002038,211,315.96,12,1.5,29.2,29.2,1.25
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,0.65,0.65,0.65,0.0,366,237.9,29,0.65,0.0,0.0,0.65
16216,LETTER SHAPE PENCIL SHARPENER,0.1260759493670886,0.06,0.42,0.0586475286715429,4135,358.18,69,0.09,46.5,30.0,0.06
16218,CARTOON  PENCIL SHARPENERS,0.098,0.06,0.16,0.048532075154897,4525,375.6,60,0.08,49.5,30.0,0.06
16219,HOUSE SHAPE PENCIL SHARPENER,0.1251515151515151,0.06,0.21,0.0744051781540138,3206,371.01,58,0.12,59.5,30.0,0.14
16225,RATTLE SNAKE EGGS,1.184913793103448,0.38,3.29,0.504653985100347,1423,1082.39,90,0.76,42.6,30.0,0.88
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.2116071428571428,0.16,0.42,0.0238842106324734,5176,1050.06,124,0.2,11.3,11.3,0.21
16236,KITTY PENCIL ERASERS,0.2096598639455782,0.16,0.21,0.0041239304942116,2425,503.65,108,0.21,2.0,2.0,0.21
16237,SLEEPING CAT ERASERS,0.2077715877437326,0.16,0.21,0.0103320932720646,10254,2051.34,209,0.2,5.0,5.0,0.21
16238,PARTY TIME PENCIL ERASERS,0.2245390070921986,0.16,0.42,0.054359585530126,2291,481.81,104,0.21,24.2,24.2,0.21
16239,BALLERINA HEART DECORATION.,2.6884615384615387,1.25,2.95,0.6384074737689892,338,468.4,13,1.39,23.7,23.7,2.53
16243B,BROWN COZY SQUARE PHOTO ALBUM,1.95,1.95,1.95,0.0,205,399.75,1,1.95,0.0,0.0,1.95
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,3.483333333333333,1.95,4.25,1.1877148928369412,142,293.0,6,2.06,34.1,30.0,1.95
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,2.91875,0.5,4.25,1.5002231976799796,309,612.85,8,1.98,51.4,30.0,3.1
16245A,PINK MINI STATIONERY SET W CASE,1.25,1.25,1.25,0.0,11,13.75,7,1.25,0.0,0.0,1.25
16248B,BLUE HOLE PUNCH,1.25,1.25,1.25,0.0,82,102.5,12,1.25,0.0,0.0,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,0.898,0.25,1.63,0.2838383528107429,912,258.36,17,0.28,31.6,30.0,0.25
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,0.42,0.42,0.42,0.0,493,207.06,17,0.42,0.0,0.0,0.42
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,0.42,0.42,0.42,0.0,169,70.98,8,0.42,0.0,0.0,0.42
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.4243037974683544,0.19,0.83,0.1500912845682356,1040,353.07,58,0.34,35.4,30.0,0.19
16258B,DAISY ERASERS IN BAG,0.2973333333333333,0.19,0.42,0.1187714892836941,1015,219.76,13,0.22,39.9,30.0,0.3
16259,PIECE OF CAMO STATIONERY SET,0.1461818181818181,0.08,0.21,0.0655882472842367,5473,766.09,46,0.14,44.9,30.0,0.08
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.2795652173913043,0.21,0.29,0.0275480177260072,1211,299.35,20,0.25,9.9,9.9,0.27
17003,BROCADE RING PURSE,0.2643391521197007,0.14,0.63,0.0808184674952408,71129,14827.71,215,0.21,30.6,30.0,0.2
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,2.1,2.1,0.0,46,96.6,6,2.1,0.0,0.0,2.1
17011A,ORIGAMI VANILLA INCENSE+FLOWER,1.3166666666666669,0.3,2.1,0.8675636383958624,254,150.0,6,0.59,65.9,30.0,0.48
17011B,ORIGAMI JASMINE INCENSE+FLOWER,1.2,0.3,2.1,1.2727922061357857,19,11.1,2,0.58,106.1,30.0,2.1
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,0.65,0.65,0.65,0.0,334,217.1,1,0.65,0.0,0.0,0.65
17011D,ORIGAMI ROSE INCENSE+FLOWER,0.475,0.3,0.65,0.2474873734152916,207,129.3,2,0.62,52.1,30.0,0.65
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,0.65,0.65,0.65,0.0,124,80.6,1,0.65,0.0,0.0,0.65
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,1.4233333333333331,0.65,2.1,0.7487767802667674,380,315.15,15,0.83,52.6,30.0,0.65
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,1.3257142857142856,0.5,2.55,0.7878088963339124,644,586.6,30,0.91,59.4,30.0,1.7
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,1.3385416666666667,0.5,2.55,0.7872142901729378,617,590.8499999999999,43,0.96,58.8,30.0,0.85
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,1.4105263157894736,0.5,2.55,0.8142007936196248,778,749.8,47,0.96,57.7,30.0,0.85
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,1.2669811320754716,0.85,2.55,0.7384328126972178,428,430.1,41,1.0,58.3,30.0,0.85
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,2.103846153846153,0.5,2.55,0.8518268452913269,264,248.4,12,0.94,40.5,30.0,0.85
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1.0957446808510638,0.5,2.55,0.6170432466023865,493,451.45,38,0.92,56.3,30.0,0.85
17013B,ORIGAMI JASMINE INCENSE IN TUBE,0.845,0.42,1.27,0.6010407640085654,255,217.6,2,0.85,71.1,30.0,0.84
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,0.42,0.42,0.42,0.0,213,89.46000000000001,2,0.42,0.0,0.0,0.42
17013D,ORIGAMI ROSE INCENSE IN TUBE,1.0,0.3,1.65,0.6355706097673176,1048,515.46,17,0.49,63.6,30.0,0.42
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,1.3125,0.3,1.65,0.6749999999999999,61,25.05,4,0.41,51.4,30.0,0.3
17014A,ORIGAMI VANILLA INCENSE CONES,0.7022222222222222,0.42,1.65,0.5379771783676742,247,111.81,9,0.45,76.6,30.0,0.42
17014C,ORIGAMI LAVENDER INCENSE CONES,0.42,0.42,0.42,0.0,96,40.32,1,0.42,0.0,0.0,0.42
17014D,ORIGAMI ROSE INCENSE CONES,1.015,0.3,1.65,0.6969863700245507,476,194.28,5,0.41,68.7,30.0,0.42
17014E,ORIGAMI OPIUM INCENSE CONES,1.3125,0.3,1.65,0.6749999999999999,93,33.3,4,0.36,51.4,30.0,0.3
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,1.3125,0.3,1.65,0.6749999999999999,61,23.700000000000003,4,0.39,51.4,30.0,0.98
17021,NAMASTE SWAGAT INCENSE,0.2952475247524752,0.24,0.3,0.0162845975944105,4430,1161.24,45,0.26,5.5,5.5,0.28
17027A,INCENSE BAZAAR CANNABIS,0.355,0.29,0.42,0.0919238815542511,228,84.84,1,0.37,25.9,25.9,0.42
17033,"BROCADE PURSE,SMALL ARCH BUTTON",0.2852941176470588,0.21,0.29,0.0189634832302707,3279,867.55,58,0.26,6.6,6.6,0.28
17038,PORCELAIN BUDAH INCENSE HOLDER,0.092258064516129,0.07,0.1,0.013344081689237,2624,232.4,21,0.09,14.5,14.5,0.1
17039,INLAID WOOD INCENSE HOLDER,0.2739999999999999,0.21,0.29,0.0325470481737988,3641,813.09,20,0.22,11.9,11.9,0.26
17061,ASSORTED SHAPED STENCIL FOR HENNA,0.04,0.04,0.04,0.0,52,2.08,1,0.04,0.0,0.0,0.04
17084A,TRANQUILITY MASALA INCENSE,0.21,0.21,0.21,0.0,442,92.82,14,0.21,0.0,0.0,0.21
17084G,MOON INCENSE,0.21,0.21,0.21,0.0,50,10.5,2,0.21,0.0,0.0,0.21
17084J,LOVE POTION MASALA INCENSE,0.21,0.21,0.21,0.0,479,100.59,17,0.21,0.0,0.0,0.21
17084N,FAIRY DREAMS INCENSE,0.2077941176470588,0.16,0.21,0.0103441653083393,2416,491.11,42,0.2,5.0,5.0,0.2
17084P,DRAGONS BLOOD INCENSE,0.2082142857142857,0.16,0.21,0.0094491118252306,924,184.04,23,0.2,4.5,4.5,0.18
17084R,ASSORTED INCENSE PACK,0.2026470588235294,0.16,0.21,0.0178398888172379,12137,2213.97,29,0.18,8.8,8.8,0.18
17090A,LAVENDER INCENSE 40 CONES IN TIN,1.1928571428571428,0.85,1.25,0.1425393290199596,215,220.75,24,1.03,11.9,11.9,1.09
17090D,VANILLA INCENSE 40 CONES IN TIN,1.2375,0.85,1.25,0.0707106781186548,95,113.95,21,1.2,5.7,5.7,1.25
17091A,LAVENDER INCENSE IN TIN,0.937719298245614,0.38,1.25,0.4151852877500658,2084,1268.53,78,0.61,44.3,30.0,0.88
17091B,JASMINE TEA INCENSE IN TIN,1.2233333333333332,0.85,1.25,0.1009049958219026,270,294.3,35,1.09,8.2,8.2,1.19
17091F,SANDALWOOD INCENSE IN TIN,1.25,1.25,1.25,0.0,16,20.0,6,1.25,0.0,0.0,1.25
17091J,VANILLA INCENSE IN TIN,0.7397076023391812,0.38,1.25,0.4232096225145682,4052,2213.32,108,0.55,57.2,30.0,0.82
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.1991891891891891,0.17,0.21,0.0180090067556299,6159,1082.07,25,0.18,9.0,9.0,0.17
17107D,FLOWER FAIRY 5 DRAWER LINERS,2.55,2.55,2.55,0.0,60,153.0,18,2.55,0.0,0.0,2.55
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55,2.55,2.55,0.0,261,665.5500000000001,52,2.55,0.0,0.0,2.55
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,0.42,0.42,0.42,0.0,355,149.1,17,0.42,0.0,0.0,0.42
17109A,FLOWER FAIRY INCENSE LILY,1.186153846153846,0.38,1.69,0.6633442854398016,709,333.61,12,0.47,55.9,30.0,0.9
17109B,FLOWER FAIRY INCENSE LAVENDER,1.184375,0.15,1.69,0.6763428001637434,4541,892.9100000000001,13,0.2,57.1,30.0,0.98
17109C,FLOWER FAIRY INCENSE ROSE,1.238,0.15,1.69,0.6639406169659625,3124,661.23,13,0.21,53.6,30.0,0.26
17109D,FLOWER FAIRY INCENSE BOUQUET,1.3205128205128205,0.38,1.69,0.5972037857159097,1256,589.94,33,0.47,45.2,30.0,1.17
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,0.8309090909090909,0.64,0.85,0.0633173823613303,85,57.13,7,0.67,7.6,7.6,0.64
17129D,CLEAR COLOUR GLASS GEMS IN BAG,0.7615789473684211,0.64,0.85,0.1065240274353754,518,344.54,12,0.67,14.0,14.0,0.73
17129F,BLUE GLASS GEMS IN BAG,0.8116,0.64,1.63,0.2668595136021948,624,418.38,14,0.67,32.9,30.0,0.71
17129F,DEEP BLUE GLASS GEMS IN BAG,0.7388235294117648,0.64,0.85,0.1080441086397805,316,208.12,8,0.66,14.6,14.6,0.71
17136A,BLUE STONES ON WIRE FOR CANDLE,0.1045945945945946,0.08,0.21,0.0516179660042355,795,65.94,28,0.08,49.4,30.0,0.08
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0.4176923076923077,0.36,0.42,0.0108604197869473,1596,638.28,64,0.4,2.6,2.6,0.41
17164D,ASS COL SMALL SAND FROG P'WEIGHT,0.4153125,0.37,0.42,0.0148072290540149,1147,445.74,26,0.39,3.6,3.6,0.41
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,1.0304761904761903,0.62,1.05,0.0719414764712704,812,753.78,43,0.93,7.0,7.0,1.02
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1.035408163265306,0.62,1.05,0.0612611171034007,723,689.67,62,0.95,5.9,5.9,1.03
17174,ASSTD RASTA KEY-CHAINS,0.42,0.42,0.42,0.0,36,15.12,7,0.42,0.0,0.0,0.42
17178,FLAT PALM T-LIGHT HOLDER,1.234,0.85,1.25,0.0799999999999999,133,156.65,20,1.18,6.5,6.5,1.18
17181,CIRCLE OF FRIENDS CANDLE HOLDER,2.1661290322580644,0.85,2.55,0.7225403214555103,295,344.25,26,1.17,33.4,30.0,2.06
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75,3.75,3.75,0.0,33,123.75,9,3.75,0.0,0.0,3.75
18007,ESSENTIAL BALM 3.5G TIN IN ENVELOPE,0.1707142857142857,0.06,0.18,0.0281461861041206,11361,1021.86,40,0.09,16.5,16.5,0.17
18010,ASSORTED FRAGRANCE BATH CONFETTI,0.42,0.42,0.42,0.0,56,23.52,6,0.42,0.0,0.0,0.42
18094C,WHITE AND BLUE CERAMIC OIL BURNER,1.1914634146341463,0.85,1.25,0.1431356170841093,325,367.85,21,1.13,12.0,12.0,1.25
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,1.25,1.25,1.25,0.0,20,25.0,3,1.25,0.0,0.0,1.25
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,2.5071428571428567,1.95,2.55,0.1603567451474546,112,256.8,12,2.29,6.4,6.4,2.46
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,2.55,2.55,2.55,0.0,19,48.45,10,2.55,0.0,0.0,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.510693641618497,1.25,2.55,0.1809650609186464,1588,3431.4,110,2.16,7.2,7.2,2.4
18098C,PORCELAIN BUTTERFLY OIL BURNER,2.89517766497462,1.25,2.95,0.25322329000438,1156,2930.2,104,2.53,8.7,8.7,2.91
20615,BLUE POLKADOT PASSPORT COVER,1.609318181818182,0.75,4.13,0.8663674437377656,240,252.24,32,1.05,53.8,30.0,1.79
20615,BLUE SPOTTY PASSPORT COVER,2.067948717948718,0.85,2.1,0.2001601922563589,222,341.2,32,1.54,9.7,9.7,1.79
20616,CHERRY BLOSSOM PASSPORT COVER,1.6651111111111112,0.75,4.13,0.7503048538676621,190,240.38,31,1.27,45.1,30.0,1.65
20617,FIRST CLASS PASSPORT COVER,2.132702702702703,1.69,4.13,0.3478910918282001,452,863.88,59,1.91,16.3,16.3,2.05
20618,QUEEN OF THE SKIES PASSPORT COVER,2.0892105263157896,1.69,2.1,0.0660658894921272,195,404.58,50,2.07,3.2,3.2,2.1
20619,TROPICAL PASSPORT COVER,2.148550724637681,0.75,4.13,0.5670441298376083,374,568.43,46,1.52,26.4,26.4,1.92
20621,ECONOMY PASSPORT COVER,2.1,2.1,2.1,0.0,200,420.0,23,2.1,0.0,0.0,2.1
20622,VIP PASSPORT COVER,2.1,2.1,2.1,0.0,35,73.5,8,2.1,0.0,0.0,2.07
20622,VIPPASSPORT COVER,2.046891891891892,0.75,2.1,0.2323372942287192,492,849.08,54,1.73,11.4,11.4,2.07
20652,BLUE POLKADOT LUGGAGE TAG,1.373469387755102,1.25,2.46,0.3700650338139239,164,212.26,34,1.29,26.9,26.9,0.88
20652,BLUE SPOTTY LUGGAGE TAG,1.2071739130434782,0.15,1.25,0.2045337575340914,1058,488.5,40,0.46,16.9,16.9,0.88
20653,CHERRY BLOSSOM LUGGAGE TAG,1.286451612903226,0.15,2.46,0.3711742482724861,1927,428.89,26,0.22,28.9,28.9,0.15
20654,FIRST CLASS LUGGAGE TAG,1.2411627906976743,1.06,1.25,0.0402468443673804,341,417.13,65,1.22,3.2,3.2,1.25
20655,QUEEN OF SKIES LUGGAGE TAG,1.265,1.06,2.46,0.1783847920104698,269,327.27,55,1.22,14.1,14.1,1.25
