StockCode,Description,daily_avg_demand,demand_std_daily,safety_stock,reorder_point,eoq,avg_price,total_units,total_revenue,stockout_risk
15044C,PURPLE PAPER PARASOL,1.1719,1.1917,7.4,23.8,1102.0,2.933030303030303,866,2440.3,Low
15044D,RED PAPER PARASOL,2.0907,1.7824,11.0,40.3,1472.0,2.9334554973821994,1545,4255.79,Low
15056BL,EDWARDIAN PARASOL BLACK,12.839,14.7697,91.2,270.9,2596.0,5.796563245823389,9488,46676.22,Low
15056N,EDWARDIAN PARASOL NATURAL,14.9215,10.1854,62.9,271.8,2800.0,5.78806598407281,11027,54741.46,Low
15056P,EDWARDIAN PARASOL PINK,3.3721,4.6023,28.4,75.6,1325.0,5.841798780487805,2492,12141.210000000001,Low
15058A,BLUE POLKADOT GARDEN PARASOL,0.2003,1.3111,8.1,10.9,279.0,7.8088235294117645,148,1104.6,Low
15058A,BLUE WHITE SPOTS GARDEN PARASOL,0.3667,1.3111,8.1,13.2,410.0,6.621428571428572,271,1394.45,Low
15058B,PINK POLKADOT GARDEN PARASOL,0.1637,0.7799,4.8,7.1,252.0,7.868181818181818,121,913.95,Low
15058B,PINK WHITE SPOTS GARDEN PARASOL,0.2436,0.7799,4.8,8.2,322.0,7.132978723404255,180,1007.0,Low
15058C,ICE CREAM DESIGN GARDEN PARASOL,0.5589,1.0465,6.5,14.3,508.0,6.597887323943662,413,1963.35,Low
15059A,ENGLISH ROSE EDWARDIAN PARASOL,0.6834,0.0,0.0,9.6,832.0,3.0,505,1515.0,Unknown
15060B,FAIRY CAKE DESIGN UMBRELLA,1.5643,1.1269,7.0,28.9,1124.0,3.765177304964539,1156,4209.42,Low
16008,SMALL FOLDING SCISSOR(POINTED EDGE),4.253,8.0099,49.5,109.0,9068.0,0.15732558139534883,3143,423.46,Low
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.0595,0.3197,2.0,2.8,1228.0,0.12,44,5.279999999999999,Low
16011,ANIMAL STICKERS,5.2855,3.2341,20.0,94.0,8759.0,0.20956896551724136,3906,819.06,Medium
16012,FOOD/DRINK SPONGE STICKERS,2.9635,4.27,26.4,67.9,6552.0,0.21,2190,459.9,Low
16012,FOOD/DRINK SPUNGE STICKERS,1.0271,4.27,26.4,40.8,3880.0,0.20749999999999996,759,158.19,Low
16014,SMALL CHINESE STYLE SCISSOR,41.0947,50.0579,309.0,884.3,17789.0,0.395,30369,9838.98,Low
16015,MEDIUM CHINESE STYLE SCISSOR,2.1286,2.5324,15.6,45.4,3645.0,0.48727272727272725,1573,711.88,Low
16016,LARGE CHINESE STYLE SCISSOR,3.1543,3.1298,19.3,63.5,3379.0,0.8404587155963302,2331,1885.15,Low
16020C,CLEAR STATIONERY BOX SET,0.111,0.1852,1.1,2.7,630.0,0.85,82,69.69999999999999,Low
16033,MINI HIGHLIGHTER PENS,20.2991,35.6046,219.8,504.0,23039.0,0.1163265306122449,15001,1530.12,Low
16043,POP ART PUSH DOWN RUBBER,2.8985,13.679,84.5,125.1,5333.0,0.31,2142,179.04000000000002,Low
16044,POP-ART FLUORESCENT PENS,8.3789,143.6841,887.1,1004.4,10305.0,0.24,6192,388.8,Low
16045,POPART WOODEN PENCILS ASST,12.5846,23.9152,147.6,323.8,28337.0,0.04767123287671233,9300,428.0,Low
16046,TEATIME PEN CASE & PENS,13.4696,45.9272,283.5,472.1,7357.0,0.7569230769230769,9954,1047.78,Low
16047,POP ART PEN CASE & PENS,14.3288,75.9516,468.9,669.5,7447.0,0.7858333333333333,10589,1017.2900000000001,Low
16048,TEATIME ROUND PENCIL SHARPENER,4.6198,6.2651,38.7,103.4,8559.0,0.19183098591549294,3414,498.78,Low
16049,TEATIME GEL PENS ASST,4.2544,8.816,54.4,114.0,6847.0,0.27599999999999997,3144,542.88,Low
16050,TEATIME PENCIL WITH RUBBER,0.1651,1.8385,11.4,13.7,1417.0,0.25,122,30.5,Low
16051,TEATIME PENCIL W STAMP ASST,1.2693,15.9734,98.6,116.4,3587.0,0.3,938,82.2,Low
16052,TEATIME PUSH DOWN RUBBER,1.0961,3.7958,23.4,38.7,2935.0,0.3871428571428571,810,249.35,Low
16053,POPART COL BALLPOINT PEN ASST,5.816,31.566,194.9,276.3,10354.0,0.16499999999999998,4298,182.58,Low
16054,POPART RECT PENCIL SHARPENER ASST,1.6306,3.8991,24.1,46.9,5558.0,0.16054054054054054,1205,156.9,Low
16119,FUNKY GIRL ADDRESS BOOK,0.3667,0.0,0.0,5.1,1055.0,1.0014285714285713,271,128.21,Unknown
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,0.0041,0.9143,5.6,5.7,58.0,3.75,3,11.25,Low
16151A,FLOWERS HANDBAG BLUE AND ORANGE,0.0663,0.9143,5.6,6.5,402.0,1.25,49,61.25,Low
16156L,WRAP CAROUSEL,0.5074,0.8784,5.4,12.5,1917.0,0.42,375,157.5,Low
16156L,"WRAP, CAROUSEL",0.7781,0.8784,5.4,16.3,2374.0,0.42,575,241.5,Low
16156N,"WRAP, FRIENDSHIP ON GREEN",1.9621,4.5571,28.1,55.6,3770.0,0.42,1450,609.0,Low
16156S,WRAP PINK FAIRY CAKES,22.5792,11.9463,73.8,389.9,12859.0,0.41534441805225647,16686,6569.12,Medium
16161C,WRAP SPEED DEMONS,0.6089,0.0,0.0,8.5,4304.0,0.1,450,45.0,Unknown
16161E,WRAP BOUDOIR,1.0149,10.1379,62.6,76.8,5556.0,0.1,750,75.0,Low
16161G,WRAP BAD HAIR DAY,1.3194,1.6074,9.9,28.4,6335.0,0.1,975,97.5,Low
16161M,WRAP  PINK FLOCK,1.4547,1.721,10.6,31.0,3254.0,0.418,1075,449.5,Low
16161P,WRAP ENGLISH ROSE,17.9946,9.7409,60.1,312.0,11430.0,0.4189639639639639,13298,5477.4,Medium
16161U,WRAP SUKI AND FRIENDS,9.1015,6.8228,42.1,169.5,8133.0,0.41857142857142854,6726,2742.92,Low
16161U,"WRAP,SUKI AND FRIENDS",4.4993,6.8228,42.1,105.1,5728.0,0.41706422018348627,3325,1352.5,Low
16162L,THE KING GIFT BAG,10.9378,51.7847,319.7,472.8,8012.0,0.5182352941176471,8083,553.79,Low
16162M,THE KING GIFT BAG 25X24X12CM,0.1164,0.1979,1.2,2.8,918.0,0.42,86,36.12,Low
16168M,FUNKY MONKEY GIFT BAG MEDIUM,2.1678,4.286,26.5,56.8,4110.0,0.3903703703703703,1602,435.24,Low
16168S,FUNKY MONKEY GIFT BAG SMALL,1.724,14.2751,88.1,112.2,5463.0,0.1757142857142857,1274,121.86,Low
16169A,WRAP CHRISTMAS DECOUPAGE,0.0338,0.0,0.0,0.5,495.0,0.42,25,10.5,Unknown
16169C,WRAP BLUE REINDEER,1.8268,6.9555,42.9,68.5,3637.0,0.42,1350,567.0,Low
16169D,WRAP WINTER FOREST,0.3383,0.0,0.0,4.7,1565.0,0.42,250,105.0,Unknown
16169E,WRAP 50'S  CHRISTMAS,6.1746,19.8194,122.4,208.8,6693.0,0.41919999999999996,4563,1892.46,Low
16169F,WRAP BLIZZARD,1.3194,6.3026,38.9,57.4,3091.0,0.42,975,409.5,Low
16169G,WRAP ROMANTIC DECOUPAGE,0.0338,0.0,0.0,0.5,495.0,0.42,25,10.5,Unknown
16169K,WRAP FOLK ART,2.8078,7.4732,46.1,85.4,4854.0,0.3625,2075,658.75,Low
16169M,WRAP DAISY CARPET,2.7876,6.7722,41.8,80.8,4888.0,0.35483333333333333,2060,640.95,Low
16169N,WRAP BLUE RUSSIAN FOLKART,2.774,8.2865,51.2,90.0,4900.0,0.35140350877192983,2050,636.75,Low
16169P,WRAP GREEN RUSSIAN FOLKART,2.3681,7.3404,45.3,78.5,4487.0,0.3577083333333333,1750,533.75,Low
16201A,PASTEL PINK PHOTO ALBUM,0.1353,0.5778,3.6,5.5,402.0,2.55,100,199.8,Low
16201B,PASTEL BLUE PHOTO ALBUM,0.0325,0.0,0.0,0.5,225.0,1.95,24,46.8,Unknown
16202A,PASTEL PINK PHOTO ALBUM,0.8945,3.9852,24.6,37.1,848.0,3.787,661,272.0,Low
16202B,PASTEL BLUE PHOTO ALBUM,1.3992,5.7833,35.7,55.3,1155.0,3.191111111111111,1034,469.21,Low
16202C,BEIGE PHOTO ALBUM,0.1272,0.1753,1.1,2.9,357.0,3.0300000000000002,94,201.29999999999998,Low
16202E,BLACK PHOTO ALBUM,0.1096,0.2789,1.7,3.2,350.0,2.723076923076923,81,150.6,Low
16206B,RED PURSE WITH PINK HEART,0.1299,0.6167,3.8,5.6,566.0,1.23125,96,116.4,Low
16207A,PINK STRAWBERRY HANDBAG,0.0744,0.0756,0.5,1.5,277.0,2.95,55,162.25,Low
16207B,PINK HEART RED HANDBAG,0.2855,2.3859,14.7,18.7,587.0,2.5200000000000005,211,315.96,Low
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,0.4953,0.759,4.7,11.6,1522.0,0.65,366,237.9,Low
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,0.0108,0.0,0.0,0.2,225.0,0.65,8,5.2,Unknown
16216,LETTER SHAPE PENCIL SHARPENER,5.5954,11.801,72.9,151.2,11619.0,0.12607594936708863,4135,358.18,Low
16218,CARTOON  PENCIL SHARPENERS,6.1231,9.9079,61.2,146.9,13786.0,0.098,4525,375.6,Low
16219,HOUSE SHAPE PENCIL SHARPENER,4.3383,7.0817,43.7,104.4,10268.0,0.12515151515151515,3206,371.01,Low
16225,RATTLE SNAKE EGGS,1.9256,3.2,19.8,46.8,2223.0,1.1849137931034481,1423,1082.39,Low
16235,RECYCLED PENCIL WITH RABBIT ERASER,7.0041,5.6799,35.1,133.2,10034.0,0.21160714285714283,5176,1050.06,Low
16236,KITTY PENCIL ERASERS,3.2815,2.2739,14.0,59.9,6900.0,0.20965986394557823,2425,503.65,Low
16237,SLEEPING CAT ERASERS,13.8755,8.8761,54.8,249.1,14252.0,0.2077715877437326,10254,2051.34,Medium
16238,PARTY TIME PENCIL ERASERS,3.1001,1.8477,11.4,54.8,6480.0,0.2245390070921986,2291,481.81,Medium
16239,BALLERINA HEART DECORATION.,0.4574,4.6602,28.8,35.2,719.0,2.6884615384615387,338,468.4,Low
16243B,BROWN COZY SQUARE PHOTO ALBUM,0.2774,0.0,0.0,3.9,658.0,1.95,205,399.75,Unknown
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,0.1922,1.3796,8.5,11.2,410.0,3.483333333333333,142,293.0,Low
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,0.4181,3.0492,18.8,24.7,660.0,2.91875,309,612.85,Low
16245A,PINK MINI STATIONERY SET W CASE,0.0149,0.0435,0.3,0.5,190.0,1.25,11,13.75,Low
16248B,BLUE HOLE PUNCH,0.111,0.5427,3.4,5.0,520.0,1.25,82,102.5,Low
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.2341,8.6366,53.3,70.6,2045.0,0.898,912,258.36,Low
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,0.6671,1.2255,7.6,16.9,2198.0,0.42000000000000004,493,207.06,Low
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,0.2287,0.3499,2.2,5.4,1287.0,0.42000000000000004,169,70.98,Low
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,1.4073,1.8088,11.2,30.9,3176.0,0.4243037974683544,1040,353.07,Low
16258B,DAISY ERASERS IN BAG,1.3735,0.0,0.0,19.2,3748.0,0.29733333333333334,1015,219.76,Unknown
16259,PIECE OF CAMO STATIONERY SET,7.406,10.1074,62.4,166.1,12414.0,0.14618181818181816,5473,766.09,Low
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1.6387,4.7395,29.3,52.2,4222.0,0.27956521739130435,1211,299.34999999999997,Low
17003,BROCADE RING PURSE,96.2503,106.3336,656.5,2004.0,33279.0,0.26433915211970077,71129,14827.71,Low
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,0.0622,0.2986,1.8,2.7,300.0,2.1,46,96.6,Low
17011A,ORIGAMI VANILLA INCENSE+FLOWER,0.3437,2.9508,18.2,23.0,891.0,1.3166666666666667,254,150.0,Low
17011B,ORIGAMI JASMINE INCENSE+FLOWER,0.0257,0.3064,1.9,2.3,255.0,1.2,19,11.1,Low
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,0.452,0.0,0.0,6.3,1454.0,0.65,334,217.1,Unknown
17011D,ORIGAMI ROSE INCENSE+FLOWER,0.2801,4.1719,25.8,29.7,1339.0,0.475,207,129.3,Low
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,0.1678,0.0,0.0,2.3,886.0,0.65,124,80.6,Unknown
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,0.5142,1.9505,12.0,19.2,1048.0,1.4233333333333333,380,315.15,Low
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,0.8714,1.6421,10.1,22.3,1414.0,1.3257142857142856,644,586.6,Low
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,0.8349,1.2401,7.7,19.4,1377.0,1.3385416666666667,617,590.8499999999999,Low
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,1.0528,2.9307,18.1,32.8,1507.0,1.4105263157894736,778,749.8,Low
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,0.5792,1.3794,8.5,16.6,1179.0,1.2669811320754716,428,430.09999999999997,Low
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,0.3572,2.2422,13.8,18.8,719.0,2.1038461538461535,264,248.39999999999998,Low
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,0.6671,1.3348,8.2,17.5,1361.0,1.0957446808510638,493,451.45,Low
17013B,ORIGAMI JASMINE INCENSE IN TUBE,0.3451,0.0,0.0,4.8,1115.0,0.845,255,217.6,Unknown
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,0.2882,0.495,3.1,7.1,1445.0,0.42,213,89.46000000000001,Low
17013D,ORIGAMI ROSE INCENSE IN TUBE,1.4181,2.1631,13.4,33.3,2077.0,1.0,1048,515.46,Low
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,0.0825,0.9061,5.6,6.8,437.0,1.3125,61,25.05,Low
17014A,ORIGAMI VANILLA INCENSE CONES,0.3342,1.2928,8.0,12.7,1203.0,0.7022222222222222,247,111.81,Low
17014C,ORIGAMI LAVENDER INCENSE CONES,0.1299,0.0,0.0,1.8,970.0,0.42,96,40.32,Unknown
17014D,ORIGAMI ROSE INCENSE CONES,0.6441,3.1696,19.6,28.6,1389.0,1.015,476,194.28,Low
17014E,ORIGAMI OPIUM INCENSE CONES,0.1258,1.6746,10.3,12.1,540.0,1.3125,93,33.3,Low
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,0.0825,1.0875,6.7,7.9,437.0,1.3125,61,23.700000000000003,Low
17021,NAMASTE SWAGAT INCENSE,5.9946,9.8339,60.7,144.6,7859.0,0.29524752475247523,4430,1161.24,Low
17027A,INCENSE BAZAAR CANNABIS,0.3085,1.4142,8.7,13.0,1626.0,0.355,228,84.84,Low
17028J,INCENSE BAZAAR PEACH,0.0081,0.0,0.0,0.1,242.0,0.42,6,2.52,Unknown
17033,"BROCADE PURSE,SMALL ARCH BUTTON",4.4371,11.2058,69.2,131.3,6878.0,0.2852941176470588,3279,867.55,Low
17038,PORCELAIN BUDAH INCENSE HOLDER,3.5507,2.5142,15.5,65.2,10820.0,0.09225806451612904,2624,232.4,Low
17039,INLAID WOOD INCENSE HOLDER,4.9269,14.0133,86.5,155.5,7395.0,0.27399999999999997,3641,813.09,Low
17061,ASSORTED SHAPED STENCIL FOR HENNA,0.0704,0.0,0.0,1.0,2314.0,0.04,52,2.08,Unknown
17084A,TRANQUILITY MASALA INCENSE,0.5981,0.5371,3.3,11.7,2943.0,0.21,442,92.82,Low
17084G,MOON INCENSE,0.0677,0.0,0.0,0.9,990.0,0.21,50,10.5,Unknown
17084J,LOVE POTION MASALA INCENSE,0.6482,0.4828,3.0,12.1,3064.0,0.21000000000000002,479,100.59,Low
17084N,FAIRY DREAMS INCENSE,3.2693,2.6328,16.3,62.1,6918.0,0.2077941176470588,2416,491.11,Low
17084P,DRAGONS BLOOD INCENSE,1.2503,1.6987,10.5,28.0,4274.0,0.2082142857142857,924,184.04,Low
17084R,ASSORTED INCENSE PACK,16.4235,27.8962,172.2,402.1,15701.0,0.2026470588235294,12137,2213.97,Low
17090A,LAVENDER INCENSE 40 CONES IN TIN,0.2909,0.6892,4.3,8.4,861.0,1.1928571428571428,215,220.75,Low
17090D,VANILLA INCENSE 40 CONES IN TIN,0.1286,0.1532,0.9,2.7,562.0,1.2375,95,113.95,Low
17091A,LAVENDER INCENSE IN TIN,2.82,4.796,29.6,69.1,3024.0,0.9377192982456141,2084,1268.53,Low
17091B,JASMINE TEA INCENSE IN TIN,0.3654,0.7658,4.7,9.8,953.0,1.2233333333333332,270,294.3,Low
17091F,SANDALWOOD INCENSE IN TIN,0.0217,0.0943,0.6,0.9,230.0,1.25,16,20.0,Low
17091J,VANILLA INCENSE IN TIN,5.4831,3.5972,22.2,99.0,4748.0,0.7397076023391812,4052,2213.32,Medium
17096,ASSORTED LAQUERED INCENSE HOLDERS,8.3342,15.766,97.3,214.0,11281.0,0.19918918918918918,6159,1082.07,Low
17107D,FLOWER FAIRY 5 DRAWER LINERS,0.0812,0.3246,2.0,3.1,311.0,2.55,60,153.0,Low
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,0.0081,0.3246,2.0,2.1,98.0,2.55,6,15.3,Low
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",0.3532,0.3246,2.0,6.9,649.0,2.55,261,665.5500000000001,Low
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,0.4804,0.685,4.2,10.9,1865.0,0.42,355,149.1,Low
17109A,FLOWER FAIRY INCENSE LILY,0.9594,6.3376,39.1,52.5,1569.0,1.1861538461538461,709,333.61,Low
17109B,FLOWER FAIRY INCENSE LAVENDER,6.1448,64.6258,399.0,485.0,3973.0,1.184375,4541,892.9100000000001,Low
17109C,FLOWER FAIRY INCENSE ROSE,4.2273,42.1721,260.4,319.6,3223.0,1.238,3124,661.23,Low
17109D,FLOWER FAIRY INCENSE BOUQUET,1.6996,4.702,29.0,52.8,1979.0,1.3205128205128205,1256,589.94,Low
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,0.115,1.1282,7.0,8.6,649.0,0.8309090909090909,85,57.129999999999995,Low
17129D,CLEAR COLOUR GLASS GEMS IN BAG,0.7009,3.9939,24.7,34.5,1673.0,0.7615789473684211,518,344.53999999999996,Low
17129F,BLUE GLASS GEMS IN BAG,0.8444,1.2178,7.5,19.3,1779.0,0.8116,624,418.38,Low
17129F,DEEP BLUE GLASS GEMS IN BAG,0.4276,1.2178,7.5,13.5,1327.0,0.7388235294117648,316,208.12,Low
17136A,BLUE STONES ON WIRE FOR CANDLE,1.0758,1.2061,7.4,22.5,5593.0,0.1045945945945946,795,65.94,Low
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,2.1597,2.9823,18.4,48.6,3966.0,0.4176923076923077,1596,638.28,Low
17164D,ASS COL SMALL SAND FROG P'WEIGHT,1.5521,4.2832,26.4,48.1,3372.0,0.4153125,1147,445.74,Low
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,1.0988,3.4487,21.3,36.7,1801.0,1.0304761904761905,812,753.78,Low
17165D,ASS COL LARGE SAND FROG P'WEIGHT,0.9783,1.6785,10.4,24.1,1695.0,1.035408163265306,723,689.67,Low
17174,ASSTD RASTA KEY-CHAINS,0.0487,0.3278,2.0,2.7,594.0,0.42,36,15.120000000000001,Low
17178,FLAT PALM T-LIGHT HOLDER,0.18,0.3935,2.4,4.9,666.0,1.234,133,156.65,Low
17181,CIRCLE OF FRIENDS CANDLE HOLDER,0.3992,0.9599,5.9,11.5,749.0,2.1661290322580644,295,344.25,Low
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,0.0447,0.0782,0.5,1.1,190.0,3.75,33,123.75,Low
18007,ESSENTIAL BALM 3.5G TIN IN ENVELOPE,15.3735,37.7215,232.9,448.1,16550.0,0.17071428571428574,11361,1021.86,Low
18010,ASSORTED FRAGRANCE BATH CONFETTI,0.0758,0.8957,5.5,6.6,741.0,0.42,56,23.52,Low
18094C,WHITE AND BLUE CERAMIC OIL BURNER,0.4398,0.3833,2.4,8.6,1060.0,1.1914634146341463,325,367.85,Low
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,0.0271,0.3833,2.4,2.8,257.0,1.25,20,25.0,Low
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,0.1516,1.1437,7.1,9.2,429.0,2.5071428571428567,112,256.8,Low
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,0.0257,0.081,0.5,0.9,175.0,2.55,19,48.449999999999996,Low
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,0.0095,0.0236,0.1,0.2,106.0,2.55,7,17.85,Low
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.1488,2.3578,14.6,44.7,1613.0,2.510693641618497,1588,3431.4,Low
18098A,PINK PORCELAIN B'FLY OIL BURNER,0.0027,0.0,0.0,0.0,53.0,2.95,2,5.9,Unknown
18098B,BLUE PORCELAIN B'FLY OIL BURNER,0.0041,0.0236,0.1,0.2,65.0,2.9500000000000006,3,8.850000000000001,Low
18098C,PORCELAIN BUTTERFLY OIL BURNER,1.5643,1.8223,11.3,33.2,1282.0,2.8951776649746193,1156,2930.2,Low
20615,BLUE POLKADOT PASSPORT COVER,0.3248,0.9165,5.7,10.2,784.0,1.6093181818181819,240,252.24,Low
20615,BLUE SPOTTY PASSPORT COVER,0.3004,0.9165,5.7,9.9,665.0,2.067948717948718,222,341.2,Low
20616,CHERRY BLOSSOM PASSPORT COVER,0.2571,0.3956,2.4,6.0,685.0,1.6651111111111112,190,240.38,Low
20617,FIRST CLASS PASSPORT COVER,0.6116,1.5924,9.8,18.4,934.0,2.132702702702703,452,863.88,Low
20618,QUEEN OF THE SKIES PASSPORT COVER,0.2639,0.2964,1.8,5.5,620.0,2.0892105263157896,195,404.58,Low
20619,TROPICAL PASSPORT COVER,0.5061,0.8252,5.1,12.2,846.0,2.148550724637681,374,568.43,Low
20620,RED SPOTTY PASSPORT COVER,0.0014,0.0,0.0,0.0,45.0,2.1,1,2.1,Unknown
20621,ECONOMY PASSPORT COVER,0.2706,1.0862,6.7,10.5,626.0,2.1,200,420.0,Low
20622,VIP PASSPORT COVER,0.0474,1.5961,9.9,10.6,262.0,2.1,35,73.5,Low
20622,VIPPASSPORT COVER,0.6658,1.5961,9.9,19.2,995.0,2.046891891891892,492,849.08,Low
20652,BLUE POLKADOT LUGGAGE TAG,0.2219,4.2438,26.2,29.3,701.0,1.373469387755102,164,212.26,Low
20652,BLUE SPOTTY LUGGAGE TAG,1.4317,4.2438,26.2,46.2,1899.0,1.2071739130434782,1058,488.5,Low
20653,CHERRY BLOSSOM LUGGAGE TAG,2.6076,15.4161,95.2,131.7,2483.0,1.286451612903226,1927,428.89,Low
20654,FIRST CLASS LUGGAGE TAG,0.4614,0.445,2.7,9.2,1063.0,1.2411627906976743,341,417.13,Low
20655,QUEEN OF SKIES LUGGAGE TAG,0.364,0.4028,2.5,7.6,936.0,1.265,269,327.27,Low
20657,TROPICAL LUGGAGE TAG,2.2923,8.7687,54.1,86.2,2370.0,1.2416438356164383,1694,536.64,Low
20658,RED RETROSPOT LUGGAGE TAG,0.6536,1.2605,7.8,17.0,1261.0,1.25,483,603.75,Low
20658,RED SPOTTY LUGGAGE TAG,1.1935,1.2605,7.8,24.5,1706.0,1.247121212121212,882,1097.94,Low
20659,ECONOMY LUGGAGE TAG,0.3951,0.2967,1.8,7.3,945.0,1.346875,292,387.06,Low
20660,VIP LUGGAGE TAG,0.0988,0.5734,3.5,4.9,490.0,1.25,73,91.25,Low
20661,BLUE POLKADOT PURSE,0.4804,3.4306,21.2,27.9,656.0,3.391538461538462,355,221.76999999999998,Low
20661,BLUE SPOTTY PURSE,0.5873,3.4306,21.2,29.4,790.0,2.863125,434,446.3,Low
20662,FIRST CLASS HOLIDAY PURSE,0.9432,3.7991,23.5,36.7,988.0,2.9388,697,394.27,Low
20663,QUEEN OF THE SKIES HOLIDAY PURSE,1.4032,6.9737,43.1,62.7,1248.0,2.742,1037,277.19,Low
20664,TROPICAL HOLIDAY PURSE,0.0419,0.0689,0.4,1.0,208.0,2.95,31,91.45,Low
20665,RED RETROSPOT PURSE,0.6604,0.955,5.9,15.1,826.0,2.9423809523809528,488,1430.0,Low
20665,RED SPOTTY PURSE,0.9459,0.955,5.9,19.1,989.0,2.943548387096774,699,2054.85,Low
20666,ECONOMY HOLIDAY PURSE,1.1786,5.3174,32.8,49.3,1157.0,2.679090909090909,871,340.65,Low
20667,CHERRY BLOSSOM PURSE,0.0284,0.043,0.3,0.7,171.0,2.95,21,61.95,Low
20668,DISCO BALL CHRISTMAS DECORATION,29.088,38.8583,239.9,647.1,27304.0,0.11868263473053893,21496,2399.8,Low
